類型代號,基金統編,基金名稱,手續費_累積金額,手續費_比率,交易稅_累積金額,交易稅_比率,經理費_累積金額,經理費_比率,保管費_累積金額,保管費_比率,其他項費用_累積金額,其他項費用_比率,合計_累積金額,合計_比率
4,92017008,荷銀新馬基金,697007,0.11%,83067,0.01%,10818445,1.68%,1730943,0.27%,4728108,0.73%,18057570,2.80%
6,92024520,荷銀債券基金,0,0.00%,0,0.00%,132754500,0.24%,42001441,0.08%,9655,0.00%,174765596,0.31%
4,97982106,荷銀日本基金,6932625,0.58%,0,0.00%,21435584,1.81%,3215335,0.27%,2280430,0.19%,33863974,2.85%
4,20089404,荷銀泰國基金,5697426,0.33%,209166,0.01%,29294638,1.68%,4394192,0.25%,3746611,0.21%,43342033,2.48%
2,17600534,荷銀高科技基金,20069214,1.39%,21767064,1.51%,29771129,2.07%,2791038,0.19%,390,0.00%,74398835,5.17%
5,18036521,荷銀安利基金,2695839,0.37%,3183005,0.44%,9867515,1.36%,986763,0.14%,1734,0.00%,16734856,2.30%
6,18479285,荷銀精選債券基金,0,0.00%,0,0.00%,45797605,0.29%,10468043,0.07%,9425,0.00%,56275073,0.35%
6,18493569,荷銀台灣債券基金,0,0.00%,0,0.00%,3492903,0.30%,798378,0.07%,5640,0.00%,4296921,0.37%
6,14303808,荷銀安信基金,0,0.00%,0,0.00%,4381795,0.54%,594073,0.07%,11224,0.00%,4987092,0.61%
4,14703136,荷銀全球首選基金,9411586,0.59%,3411215,0.21%,18947888,1.18%,2923391,0.18%,1655067,0.10%,36349147,2.27%
3,966122,建弘台北基金,12224723,4.60%,14555986,5.48%,11154842,4.20%,1500000,0.56%,1749456,0.66%,41185007,15.50%
2,968521,建弘福元基金,18672987,2.72%,20501806,2.98%,13579047,1.98%,1810377,0.26%,895643,0.13%,55459860,8.07%
4,969710,建弘泛太基金,5601554,1.01%,0,0.00%,9272632,1.67%,1483461,0.27%,974376,0.18%,17332023,3.13%
2,971096,建弘雙福基金,12235551,2.20%,13101317,2.35%,8467463,1.52%,2000000,0.36%,190721,0.03%,35995052,6.46%
5,1013088,建弘廣福基金,1262452,0.44%,1344542,0.46%,3016976,1.04%,603240,0.21%,190949,0.07%,6418159,2.22%
3,1013279,建弘新台北基金,2533723,8.21%,2894526,9.38%,1845741,5.98%,245934,0.80%,1245531,4.04%,8765455,28.41%
6,1032249,建弘全家福基金,0,0.00%,0,0.00%,94905675,0.20%,36762226,0.08%,434502,0.00%,132102403,0.28%
2,1032803,建弘萬得福基金,8488238,2.39%,9089257,2.56%,6777293,1.91%,677558,0.19%,265508,0.07%,25297854,7.13%
4,92010461,建弘馬來西亞基金,21487138,1.80%,2780992,0.23%,25631252,2.14%,3807883,0.32%,4968099,0.42%,58675364,4.90%
2,97980043,建弘福王基金,19139533,2.21%,20819581,2.40%,16286588,1.88%,1526696,0.18%,805,0.00%,57773203,6.66%
6,20081472,建弘台灣債券基金,0,0.00%,0,0.00%,81443872,0.31%,21718227,0.08%,2580,0.00%,103164679,0.40%
2,20092528,建弘店頭市場基金,23132182,2.62%,25363542,2.87%,20073276,2.27%,1881713,0.21%,556,0.00%,70451269,7.97%
4,81593453,建弘全球台商基金,8088186,1.99%,8104619,1.99%,8273859,2.03%,1240920,0.30%,98858,0.02%,25806442,6.34%
2,73989002,建弘小型精選基金,29627184,2.38%,33491224,2.69%,27488223,2.21%,2576860,0.21%,255,0.00%,93183746,7.49%
2,19341318,建弘電子基金,38559675,2.66%,42207004,2.92%,30313984,2.09%,2841769,0.20%,300,0.00%,113922732,7.87%
2,17154324,建弘價值基金,22163461,2.95%,24482793,3.25%,14690055,1.95%,1377008,0.18%,343,0.00%,62713660,8.34%
4,17612378,建弘亞洲科技基金,13878372,1.70%,3923617,0.48%,16912228,2.07%,2512512,0.31%,1623208,0.20%,38849937,4.76%
4,14692567,建弘美國科技基金,10229207,1.14%,58441,0.01%,14639450,1.63%,2007613,0.22%,283850,0.03%,27218561,3.04%
3,1047806,中華台灣基金,32425236,0.55%,37225338,0.64%,81812115,1.40%,10984500,0.19%,21924504,0.37%,184371693,3.15%
2,989005,匯豐匯豐基金,20708620,1.44%,23322442,1.62%,27673701,1.92%,3689830,0.26%,1228036,0.09%,76622629,5.31%
2,1050013,匯豐成長基金,13754539,1.23%,15464771,1.38%,21953970,1.96%,2927202,0.26%,701257,0.06%,54801739,4.88%
4,1021658,匯豐萬邦基金,3846175,0.63%,271739,0.04%,11174669,1.83%,893971,0.15%,1410654,0.23%,17597208,2.89%
5,971080,匯豐安富基金,14436502,0.62%,16350199,0.70%,32178873,1.38%,4652491,0.20%,1684422,0.07%,69302487,2.97%
2,76941376,匯豐成功基金,12015516,0.72%,13027303,0.78%,14260376,0.85%,2881227,0.17%,971210,0.06%,43155632,2.59%
6,1013067,匯豐成龍基金,0,0.00%,0,0.00%,28184594,0.39%,5636917,0.08%,2075,0.00%,33823586,0.47%
2,1031298,匯豐龍鳳基金,10361177,0.74%,11624219,0.83%,19119146,1.36%,1911904,0.14%,1093377,0.08%,44109823,3.13%
2,92006298,匯豐100基金,480112,0.00%,473624,0.00%,994208,0.00%,185582,0.00%,296673,0.00%,2430199,0.00%
2,92017794,匯豐龍騰電子基金,44787110,1.02%,50251138,1.14%,70867487,1.61%,8858422,0.20%,3083765,0.07%,177847922,4.05%
6,92025871,匯豐富泰債券基金,0,0.00%,612772,0.00%,80394592,0.26%,31559402,0.10%,1310,0.00%,112568076,0.36%
6,97978399,匯豐開泰債券基金,0,0.00%,0,0.00%,7727114,1.31%,2060565,0.35%,202882,0.03%,9990561,1.70%
6,97993027,匯豐富泰二號債券基金,0,0.00%,0,0.00%,58612253,0.43%,13397088,0.10%,1230,0.00%,72010571,0.52%
2,97995664,匯豐店頭五十基金,16861802,1.21%,18529618,1.33%,29575337,2.12%,2760359,0.20%,734496,0.05%,68461612,4.91%
2,73987671,匯豐台灣精典基金,24222800,0.81%,24866499,0.83%,49185116,1.64%,4262719,0.14%,1713153,0.06%,104250287,3.47%
4,18031954,匯豐太平洋精典基金,31376636,2.59%,7557728,0.62%,27247810,2.25%,2422033,0.20%,3759428,0.31%,72363635,5.97%
6,13538742,匯豐開泰二號債券基金,0,0.00%,0,0.00%,9233627,3.74%,1443676,0.58%,187532,0.08%,10864835,4.40%
4,15587747,匯豐歐洲精典基金,470639,0.02%,422472,0.02%,1246752,0.06%,178110,0.01%,0,0.00%,2317973,0.12%
2,77537509,元大多元基金,3112450,0.42%,3478773,0.47%,8908195,1.21%,1113519,0.15%,295907,0.04%,16908844,2.29%
6,1031608,元大多利基金,0,0.00%,16958,0.00%,65254175,0.32%,15515257,0.08%,568828,0.00%,81355218,0.40%
2,1032058,元大多福基金,10127054,1.21%,11147144,1.33%,13871055,1.65%,1387100,0.17%,230456,0.03%,36762809,4.37%
2,92001765,元大多多基金,7192549,0.91%,7887050,1.00%,14534782,1.85%,1245835,0.16%,197857,0.03%,31058073,3.95%
2,92026219,元大卓越基金,26810848,0.77%,30846601,0.88%,60013018,1.71%,4500985,0.13%,1015,0.00%,122172467,3.49%
6,97980178,元大多利二號基金,0,0.00%,0,0.00%,58175774,0.33%,15513540,0.09%,106360,0.00%,73795674,0.42%
2,20080023,元大店頭基金,10718212,0.91%,11970019,1.02%,23130705,1.97%,2168520,0.18%,403,0.00%,47987859,4.09%
6,20081331,元大萬泰基金,0,0.00%,3120,0.00%,93395146,0.27%,24905369,0.07%,660,0.00%,118304295,0.34%
2,81584335,元大高科技基金,27041387,0.63%,30808821,0.72%,75627269,1.76%,7090064,0.16%,1074,0.00%,140568615,3.27%
2,81585622,元大滿益基金,2830936,0.53%,3081260,0.57%,9479906,1.76%,888741,0.17%,692,0.00%,16281535,3.03%
2,83863951,元大經貿基金,7666877,0.83%,8443588,0.92%,15922796,1.73%,1492764,0.16%,255,0.00%,33526280,3.64%
2,17139204,元大新主流基金,10622650,0.91%,11959556,1.02%,18510498,1.58%,1735356,0.15%,505,0.00%,42828565,3.66%
4,17612481,元大全球通訊基金,3980471,0.70%,24338,0.00%,10728320,1.88%,1593909,0.28%,434868,0.08%,16761906,2.95%
2,18036281,元大巴菲特基金,21027130,1.11%,24277411,1.28%,29126587,1.54%,2730624,0.14%,535,0.00%,77162287,4.07%
5,18475197,元大平衡基金,4546175,1.54%,5587897,1.89%,5487269,1.86%,548721,0.19%,175,0.00%,16170237,5.47%
5,98636553,元大雙盈基金,8524150,0.51%,7705690,0.46%,20600711,1.23%,2060072,0.12%,4119,0.00%,38894742,2.32%
4,14696466,元大全球成長基金,2886811,0.84%,585275,0.17%,16229787,4.74%,2413811,0.71%,1905,0.00%,22117589,6.46%
2,974024,景順中信和信基金,4744798,1.34%,5200843,1.47%,5470082,1.54%,627221,0.18%,276325,0.08%,16319269,4.61%
3,1032424,中信台灣股價指數基金,11998,0.00%,21943,0.00%,44448,0.00%,5928,0.00%,1121126,0.00%,1205443,0.00%
2,92019786,景順中信潛力基金,5950973,1.32%,6379062,1.41%,8479970,1.87%,741998,0.16%,460,0.00%,21552463,4.76%
6,92025942,景順中信債券基金,0,0.00%,0,0.00%,122349772,0.30%,27965670,0.07%,1237238,0.00%,151552680,0.37%
4,97993482,景順中信全球科技基金,52854762,1.62%,6342232,0.19%,69091222,2.12%,9870173,0.30%,2087412,0.06%,140245801,4.29%
2,20089782,景順中信店頭基金,3866774,1.01%,4141024,1.08%,7051950,1.84%,617040,0.16%,484,0.00%,15677272,4.09%
4,81598957,景順中信龍基金,3400918,1.04%,2184769,0.67%,6901849,2.12%,985968,0.30%,391433,0.12%,13864937,4.26%
2,73989256,景順中信台灣科技基金,10672763,0.61%,11710510,0.67%,37256743,2.13%,3259979,0.19%,475,0.00%,62900470,3.59%
2,17140568,景順中信主流基金,3694937,0.85%,3992854,0.92%,8463382,1.94%,740557,0.17%,380,0.00%,16892110,3.88%
5,17606713,景順中信平衡基金,12558634,1.16%,14096313,1.31%,15600046,1.45%,1560005,0.14%,3131,0.00%,43818129,4.06%
4,17612362,景順中信寰宇先進科技基金,15100958,1.69%,2137852,0.24%,21504474,2.41%,3345134,0.38%,850500,0.10%,42938918,4.82%
2,18036297,景順中信新價值基金,156100,0.00%,160722,0.00%,371532,0.00%,34827,0.00%,0,0.00%,723181,0.00%
6,18487742,景順中信積極收益基金,758379,0.00%,115087,0.00%,52255887,0.23%,11944203,0.05%,428934,0.00%,65502490,0.28%
6,14554467,景順公債基金,69676,0.01%,0,0.00%,2072227,0.24%,331555,0.04%,2660,0.00%,2476118,0.29%
4,14687516,景順全球康健基金,4164041,0.92%,402296,0.09%,12887803,2.83%,1217174,0.27%,607431,0.13%,19278745,4.24%
2,1032091,保誠威鋒基金,281490,0.00%,312971,0.00%,287583,0.00%,248547,0.00%,0,0.00%,1130591,0.00%
6,1033325,保誠威鋒二號基金,0,0.00%,0,0.00%,169095196,0.36%,48312907,0.10%,359258,0.00%,217767361,0.46%
2,92003102,保誠高科技基金,26284846,1.26%,29571157,1.42%,31880355,1.53%,3000286,0.14%,389653,0.02%,91126297,4.39%
2,92012572,保誠外銷基金,25665331,1.92%,29526656,2.21%,24004743,1.79%,2250448,0.17%,499,0.00%,81447677,6.09%
6,92029216,保誠獨特基金,0,0.00%,0,0.00%,60850842,0.31%,10141811,0.05%,6770,0.00%,70999423,0.36%
2,97978102,保誠掌櫃基金,5337395,1.34%,5881148,1.48%,7657291,1.92%,624391,0.16%,285,0.00%,19500510,4.90%
2,97983647,保誠元滿基金,12045303,2.42%,13336900,2.68%,10287738,2.06%,1028773,0.21%,437,0.00%,36699151,7.36%
2,97990696,保誠菁華基金,9009968,1.08%,9448994,1.13%,8151410,0.98%,764115,0.09%,40283,0.00%,27414770,3.29%
4,81581219,保誠亞太三喜基金,5386373,0.82%,2005943,0.31%,13362874,2.04%,1998043,0.30%,334394,0.05%,23087627,3.52%
2,81595924,保誠中小型股基金,27875783,1.34%,31321401,1.50%,41055372,1.97%,3848938,0.18%,467,0.00%,104101961,4.99%
6,83867345,保誠威寶基金,0,0.00%,0,0.00%,118969385,0.24%,39656392,0.08%,2110,0.00%,158627887,0.32%
2,17603899,保誠電通網基金,33509124,2.11%,38157285,2.41%,32111472,2.02%,3010451,0.19%,180,0.00%,106788512,6.73%
4,17611814,保誠歐洲基金,789320,0.16%,37603,0.01%,10014749,1.99%,1716811,0.34%,2500,0.00%,12560983,2.50%
5,18036769,保誠理財通基金,3804100,1.09%,4222606,1.21%,3598174,1.03%,359827,0.10%,5013,0.00%,11989720,3.43%
4,14692623,保誠美國高科技基金,7745743,0.86%,37632,0.00%,12982617,1.44%,2077222,0.23%,626,0.00%,22843840,2.53%
2,974050,保德信元富元富基金,1684928,0.00%,1864609,0.00%,1806313,0.00%,225787,0.00%,83023,0.00%,5664660,0.00%
2,1032183,保德信元富高成長基金,23168576,0.72%,24267481,0.76%,34988451,1.09%,4373557,0.14%,171350,0.01%,86969415,2.71%
2,92013967,保德信元富金滿意基金,53450503,1.04%,58385795,1.14%,103363206,2.02%,9690303,0.19%,496,0.00%,224890303,4.39%
4,92029139,保德信元富亞太基金,4186584,1.35%,940436,0.30%,6381635,2.06%,948133,0.31%,628335,0.20%,13085123,4.22%
6,97978047,保德信元富債券基金,0,0.00%,0,0.00%,102619448,0.27%,30785837,0.08%,1050,0.00%,133406335,0.35%
2,97988636,保德信元富店頭市場基金,9532124,2.22%,10351790,2.42%,10051921,2.35%,942353,0.22%,498,0.00%,30878686,7.21%
6,20089122,保德信元富瑞騰基金,0,0.00%,0,0.00%,18128554,0.24%,5438111,0.07%,10500,0.00%,23577165,0.31%
2,20097447,保德信元富第一基金,4076559,0.55%,4492038,0.61%,14955344,2.03%,1402060,0.19%,304,0.00%,24926305,3.38%
2,73990649,保德信元富科技島基金,74583292,2.10%,81503683,2.30%,71310225,2.01%,6685331,0.19%,624,0.00%,234083155,6.60%
4,73998065,保德信元富大中華基金,4481391,1.67%,2219214,0.83%,5148870,1.92%,764984,0.28%,51380,0.02%,12665839,4.71%
2,83866508,保德信元富中小型股基金,5594583,0.60%,5443001,0.58%,14746386,1.58%,1382482,0.15%,382,0.00%,27166834,2.92%
2,17602625,保德信元富新世紀基金,21631609,1.02%,23255123,1.10%,43816760,2.07%,4107812,0.19%,385,0.00%,92811689,4.39%
4,17611791,保德信元富日韓基金,3038501,0.55%,0,0.00%,11835360,2.16%,1758507,0.32%,1446614,0.26%,18078982,3.29%
5,18044064,保德信元富金平衡基金,969813,0.38%,1012482,0.40%,3483901,1.37%,348388,0.14%,90,0.00%,5814674,2.29%
2,13528977,保德信元富台商全方位基金,15454937,3.48%,16406930,3.70%,7716541,1.74%,802133,0.18%,13934,0.00%,40394475,9.10%
4,14692638,保德信元富全球醫療生化基金,4856811,0.45%,0,0.00%,14225469,1.31%,2133823,0.20%,543516,0.05%,21759619,2.01%
2,77537493,統一統信基金,41022896,1.66%,45842484,1.85%,24184211,0.98%,3023033,0.12%,638756,0.03%,114711380,4.63%
2,1031699,統一全天候基金,17438048,1.26%,19595364,1.41%,19598934,1.41%,3293820,0.24%,520560,0.04%,60446726,4.36%
2,92002244,統一黑馬基金,14947881,1.47%,16717584,1.64%,16829896,1.65%,1570794,0.15%,550258,0.05%,50616413,4.97%
2,92012762,統一龍馬基金,16010021,1.76%,17363328,1.91%,14786263,1.62%,1310177,0.14%,195485,0.02%,49665274,5.46%
6,92017176,統一強棒基金,0,0.00%,0,0.00%,98380369,0.28%,22973422,0.07%,1070964,0.00%,122424755,0.35%
2,97977878,統一店頭市場基金,11602503,2.62%,12804625,2.89%,8092005,1.83%,657472,0.15%,97490,0.02%,33254095,7.51%
6,20080826,統一全壘打基金,0,0.00%,0,0.00%,98565070,0.33%,26284024,0.09%,977255,0.00%,125826349,0.43%
2,81581724,統一經建基金,20507862,3.31%,23105464,3.73%,13915790,2.24%,1304755,0.21%,135629,0.02%,58969500,9.51%
2,73990253,統一奔騰基金,38677766,4.61%,43452935,5.18%,15597888,1.86%,1462328,0.17%,71695,0.01%,99262612,11.83%
2,17605622,統一大滿貫基金,32058872,2.05%,36556607,2.34%,24695758,1.58%,2315227,0.15%,1623327,0.10%,97249791,6.23%
4,18030553,統一亞太基金,5809822,1.29%,3071830,0.68%,10327608,2.29%,1534397,0.34%,5982591,1.32%,26726248,5.92%
2,18041778,統一中小優質基金,6886679,0.00%,7775979,0.00%,5279281,0.00%,494933,0.00%,10044,0.00%,20446916,0.00%
6,18499819,統一政府公債基金,0,0.00%,0,0.00%,719160,0.00%,129453,0.00%,17919,0.00%,866532,0.00%
2,14911296,統一飛躍成長基金,13887748,0.96%,14303793,0.99%,12904591,0.90%,1209824,0.08%,581025,0.04%,42886981,2.98%
1,974018,富邦富邦基金,24753568,0.84%,27317978,0.93%,43013008,1.46%,5376622,0.18%,2567047,0.09%,103028223,3.51%
6,76949026,富邦如意基金,0,0.00%,0,0.00%,87870022,0.26%,25105712,0.08%,337020,0.00%,113312754,0.34%
2,92002384,富邦精準基金,15122381,0.62%,16078860,0.66%,38741379,1.59%,3874136,0.16%,145592,0.01%,73962348,3.03%
2,92010477,富邦長紅基金,17194504,0.99%,18514306,1.06%,29620305,1.70%,2776911,0.16%,1277,0.00%,68107303,3.91%
3,92010770,富邦台灣鳳凰基金,8772808,2.00%,9668941,2.20%,8221485,1.87%,822147,0.19%,113244,0.03%,27598625,6.28%
2,97974078,富邦冠軍基金,8287617,1.07%,8803396,1.14%,13854040,1.79%,1298811,0.17%,1283,0.00%,32245147,4.17%
6,97980579,富邦如意二號基金,0,0.00%,0,0.00%,91940835,0.22%,26268809,0.06%,10400,0.00%,118220044,0.29%
1,20089755,富邦店頭基金,20743611,0.62%,22442437,0.67%,67447966,2.01%,6323239,0.19%,1280795,0.04%,118238048,3.52%
2,81585475,富邦高成長基金,20057145,1.82%,22135333,2.01%,20512069,1.86%,1923014,0.17%,1697,0.00%,64629258,5.86%
2,83864683,富邦科技基金,8840713,1.01%,9471622,1.08%,16494852,1.88%,1592442,0.18%,13606,0.00%,36413235,4.14%
6,19331085,富邦如意三號基金,0,0.00%,0,0.00%,93646186,0.27%,26756056,0.08%,14630,0.00%,120416872,0.35%
2,17148301,富邦台灣心基金,5756264,0.33%,6590311,0.38%,35764117,2.08%,3352886,0.20%,219,0.00%,51463797,2.99%
2,17153795,富邦價值基金,6528654,1.13%,7155544,1.24%,11117761,1.92%,1042296,0.18%,320,0.00%,25844575,4.47%
2,17608445,富邦網路基金,7857037,1.16%,8812366,1.31%,14088890,2.09%,1320835,0.20%,695,0.00%,32079823,4.76%
6,17607229,富邦千禧龍債券基金,0,0.00%,0,0.00%,20648558,0.19%,4719660,0.04%,19070,0.00%,25387288,0.23%
4,18032601,富邦亞洲科技基金,3126101,0.71%,457324,0.10%,9448198,2.15%,1187773,0.27%,70,0.00%,14219466,3.23%
5,13999857,富邦福寶基金,7199748,1.34%,7136342,1.33%,10000182,1.86%,666676,0.12%,1620,0.00%,25004568,4.65%
4,14700052,富邦全球精選基金,2666117,0.17%,0,0.00%,15902229,1.03%,2180875,0.14%,8986,0.00%,20758207,1.34%
2,974039,怡富怡富基金,8920430,0.62%,9706411,0.68%,19452933,1.36%,2269514,0.16%,2638793,0.18%,42988081,3.00%
2,1032162,怡富台灣增長基金,13653929,0.59%,14713063,0.63%,30416944,1.31%,4855607,0.21%,3234831,0.14%,66874374,2.88%
4,92005896,怡富新興日本基金,2568328,0.13%,0,0.00%,30871966,1.55%,4527896,0.23%,5377994,0.27%,43346184,2.17%
2,92012025,怡富新興科技基金,35892553,0.46%,42489418,0.54%,136640284,1.74%,12753101,0.16%,5713944,0.07%,233489300,2.98%
6,92016991,怡富台灣債券基金,0,0.00%,0,0.00%,75031262,0.31%,13918754,0.06%,231855,0.00%,89181871,0.36%
4,92023780,怡富亞洲基金,11625239,0.55%,5674630,0.27%,34409463,1.64%,5112269,0.24%,3884032,0.18%,60705633,2.88%
6,97991668,怡富第一債券基金,0,0.00%,0,0.00%,112929206,0.31%,29038936,0.08%,328737,0.00%,142296879,0.39%
4,97999612,怡富全球龍揚基金,33372720,0.44%,26370363,0.35%,142067919,1.87%,21107238,0.28%,3837057,0.05%,226755297,2.99%
4,20096209,怡富東方科技基金,41652563,0.53%,19593824,0.25%,154029593,1.97%,22884396,0.29%,10633767,0.14%,248794143,3.18%
4,73980092,怡富大歐洲基金,56142917,1.06%,22422316,0.42%,100257983,1.90%,17187094,0.33%,25247577,0.48%,221257887,4.19%
2,73989501,怡富中小基金,28345469,0.66%,28663289,0.66%,75465335,1.75%,7074876,0.16%,1711162,0.04%,141260131,3.28%
2,17144945,怡富價值成長基金,8625129,0.57%,9282797,0.61%,23517268,1.54%,2204749,0.14%,603631,0.04%,44233574,2.90%
4,17612356,怡富全球通網基金,3484061,0.27%,1539097,0.12%,28114554,2.17%,4529574,0.35%,1212681,0.09%,38879967,3.00%
5,18036846,怡富平衡基金,3775511,0.32%,4083949,0.35%,12298966,1.05%,1229899,0.11%,845900,0.07%,22234225,1.90%
4,14691292,怡富新美國基金,6669778,0.33%,35435,0.00%,26418307,1.31%,4109514,0.20%,4070814,0.20%,41303848,2.05%
2,973762,永昌永昌基金,8298453,3.20%,8954944,3.45%,4326950,1.67%,502780,0.19%,496688,0.19%,22579815,8.71%
2,1031852,永昌昌隆基金,1248849,1.98%,1353144,2.15%,1050479,1.67%,500000,0.79%,379061,0.60%,4531533,7.19%
2,92016839,永昌前瞻科技基金,1938912,2.92%,2007032,3.02%,1459427,2.20%,145938,0.22%,190,0.00%,5551499,8.35%
6,97971760,永昌鳳翔債券基金,0,0.00%,0,0.00%,186931241,0.34%,53408927,0.10%,2010,0.00%,240342178,0.44%
2,81584953,永昌店頭基金,322485,0.00%,557423,0.00%,104912,0.00%,10745,0.00%,0,0.00%,995565,0.00%
2,17610006,永昌新銳星基金,10508912,2.92%,11438852,3.18%,9504960,2.64%,891088,0.25%,375,0.00%,32344187,8.99%
5,18477625,永昌龍盈平衡基金,2343877,1.19%,2484351,1.26%,2391874,1.22%,239180,0.12%,175,0.00%,7459457,3.79%
6,13989817,永昌麒麟債券基金,0,0.00%,0,0.00%,53385686,0.28%,12202444,0.06%,3790,0.00%,65591920,0.34%
2,974066,寶來2001基金,9653365,2.25%,10338716,2.41%,5619468,1.31%,936576,0.22%,170992,0.04%,26719117,6.22%
2,92004566,寶來績效基金,6899156,2.53%,7251829,2.66%,4089892,1.50%,381729,0.14%,353878,0.13%,18976484,6.96%
6,92017204,寶來得利基金,0,0.00%,0,0.00%,122393537,0.41%,34969575,0.12%,8120,0.00%,157371232,0.53%
4,97976723,寶來美台雙利基金,3983805,1.85%,4215201,1.96%,3629136,1.69%,499014,0.23%,55468,0.03%,12382624,5.77%
2,17145070,寶來矽谷基金,15514751,2.50%,16939116,2.73%,11679392,1.88%,1090084,0.18%,26364,0.00%,45249707,7.30%
5,18036563,寶來平衡基金,3911625,1.41%,4217525,1.52%,2963876,1.07%,296371,0.11%,147412,0.05%,11536809,4.17%
6,13530495,寶來得寶基金,0,0.00%,0,0.00%,68160157,0.37%,15579464,0.08%,6970,0.00%,83746591,0.46%
2,14542287,寶來精準中小基金,24790989,2.21%,25137962,2.24%,16663410,1.49%,1562242,0.14%,124941,0.01%,68279544,6.09%
6,15741262,寶來富利基金,0,0.00%,0,0.00%,352483,0.01%,80568,0.00%,2530,0.00%,435581,0.01%
2,974241,新光台灣富貴基金,16909874,0.81%,16772985,0.81%,19798980,0.95%,2474869,0.12%,331859,0.02%,56288567,2.70%
6,1031706,新光台灣吉利基金,0,0.00%,0,0.00%,33827274,0.22%,12530913,0.08%,368750,0.00%,46726937,0.30%
2,92000533,新光台灣永發基金,7534622,2.05%,8110754,2.20%,6574213,1.79%,657422,0.18%,181833,0.05%,23058844,6.27%
4,92024964,新光日本精選基金,2952143,1.80%,0,0.00%,3323837,2.03%,540119,0.33%,301984,0.18%,7118083,4.34%
6,97982062,新光吉祥基金,0,0.00%,0,0.00%,4427055,0.25%,730388,0.04%,45537,0.00%,5202980,0.30%
6,97988122,新光吉星基金,0,0.00%,0,0.00%,99264394,0.21%,38505751,0.08%,76880,0.00%,137847025,0.29%
2,97998803,新光競臻笠基金,7684240,0.84%,8012183,0.88%,11721277,1.29%,1098872,0.12%,159,0.00%,28516731,3.13%
2,81580149,新光國家建設基金,5889601,1.13%,6653365,1.28%,10090602,1.93%,945989,0.18%,204,0.00%,23579761,4.52%
