類型代號,基金統編,基金名稱,手續費_累積金額,手續費_比率,交易稅_累積金額,交易稅_比率,股票ETF及指數型基金申購/買回交易費_累積金額,股票ETF及指數型基金申購/買回交易費_比率,經理費_累積金額,經理費_比率,保管費_累積金額,保管費_比率,保證費_累積金額,保證費_比率,其他項費用_累積金額,其他項費用_比率,合計_累積金額,合計_比率
AC21,76348683,第一金全球富裕國家債券基金 (本基金有一定比重得投資於非投資等級之高風險債券且配息來源可能為本金),0,0.00%,0,0.00%,0,0.00%,884022,0.18%,198141,0.04%,0,0.00%,26847,0.01%,1109010,0.23%
AA2,88101307,第一金全球Fitness健康瘦身基金,9854,0.00%,6361,0.00%,0,0.00%,636579,0.29%,95488,0.04%,0,0.00%,26852,0.01%,775134,0.35%
AA2,88101313,第一金全球Pet毛小孩基金,18228,0.02%,2408,0.00%,0,0.00%,314347,0.29%,47117,0.04%,0,0.00%,26843,0.02%,408943,0.38%
AA2,88101334,第一金全球eSports電競基金,137363,0.01%,0,0.00%,0,0.00%,2788762,0.29%,418339,0.04%,0,0.00%,26842,0.00%,3371306,0.35%
AC21,88132717,第一金四至六年機動到期全球富裕國家投資級債券基金 (本基金有一定比重得投資於非投資等級之高風險債券且配息來源可能為本金),0,0.00%,0,0.00%,0,0.00%,626164,0.08%,150279,0.02%,0,0.00%,26794,0.00%,803237,0.10%
AA1,88271077,第一金台灣核心戰略建設基金 (本基金配息來源可能為本金),1112367,0.13%,1696387,0.21%,0,0.00%,2139142,0.26%,200534,0.02%,0,0.00%,26877,0.00%,5175307,0.63%
AH21,88316551,第一金太空衛星ETF基金,2206225,0.05%,306535,0.01%,2798361,0.06%,6299128,0.15%,1609783,0.04%,0,0.00%,540949,0.01%,8164259,0.19%
AJ2,93153352,第一金全球永續影響力投資多重資產基金 (本基金有一定比重得投資於非投資等級之高風險債券且配息來源可能為本金或收益平準金),26581,0.01%,6,0.00%,0,0.00%,669190,0.29%,96658,0.04%,0,0.00%,34387,0.01%,826822,0.36%
AA2,508930,第一金量化日本基金,1909425,0.16%,0,0.00%,0,0.00%,2961732,0.25%,382161,0.03%,0,0.00%,26844,0.00%,5280162,0.45%
AH22,568520,第一金美元優選收益非投資等級債券ETF基金 (本基金之配息來源可能為收益平準金),0,0.00%,0,0.00%,0,0.00%,5559075,0.05%,1111809,0.01%,0,0.00%,1038497,0.01%,7709381,0.07%
AL11,650540,第一金台股趨勢優選主動式ETF基金 (本基金配息來源可能為收益平準金),1703600,0.19%,1673672,0.19%,746744,0.08%,1007250,0.11%,50357,0.01%,0,0.00%,71180,0.01%,3759315,0.42%
AB1,971080,匯豐安富基金,219673,0.02%,427887,0.03%,0,0.00%,2400827,0.19%,350120,0.03%,0,0.00%,37110,0.00%,3435617,0.27%
AA1,76941376,匯豐成功基金,6585,0.00%,22027,0.00%,0,0.00%,543460,0.11%,108695,0.02%,0,0.00%,29727,0.01%,710494,0.14%
AA1,1031298,匯豐龍鳳基金,783575,0.02%,1394256,0.03%,0,0.00%,7779399,0.19%,779827,0.02%,0,0.00%,29737,0.00%,10766794,0.26%
AA1,92017794,匯豐龍騰電子基金,1210112,0.05%,2143557,0.09%,0,0.00%,4372637,0.19%,546577,0.02%,0,0.00%,29752,0.00%,8302635,0.36%
AA1,73987671,匯豐台灣精典基金 (本基金配息來源可能為本金),436683,0.03%,740045,0.05%,0,0.00%,3539258,0.23%,306733,0.02%,0,0.00%,29772,0.00%,5052491,0.33%
AA2,48686374,匯豐金磚動力基金,99434,0.01%,104978,0.01%,0,0.00%,2960300,0.31%,473653,0.05%,0,0.00%,35458,0.00%,3673823,0.39%
AA2,48784327,匯豐新鑽動力基金,88863,0.01%,187126,0.03%,0,0.00%,2257787,0.31%,361251,0.05%,0,0.00%,136994,0.02%,3032021,0.42%
AE21,48865209,匯豐全球趨勢組合基金,2063,0.00%,0,0.00%,0,0.00%,812736,0.19%,88049,0.02%,0,0.00%,32805,0.01%,935653,0.22%
AA2,48925001,匯豐全球關鍵資源基金,116347,0.01%,0,0.00%,0,0.00%,3003809,0.28%,450568,0.04%,0,0.00%,101741,0.01%,3672465,0.34%
AA2,25500903,匯豐中國動力基金,250442,0.04%,133716,0.02%,0,0.00%,1698183,0.28%,235854,0.04%,0,0.00%,91458,0.02%,2409653,0.40%
AC21,25695077,匯豐資源豐富國家收益基金 (本基金有一定比重投資於非投資等級之高風險債券且配息來源可能為本金),0,0.00%,0,0.00%,0,0.00%,1720082,0.19%,358345,0.04%,0,0.00%,37008,0.00%,2115435,0.23%
AA2,38482745,匯豐中國A股匯聚基金,1626287,0.06%,441510,0.02%,0,0.00%,7349083,0.28%,1061536,0.04%,0,0.00%,133805,0.01%,10612221,0.41%
AE23,88183314,匯豐ESG永續多元資產組合基金 (本基金有相當比重投資於非投資等級之高風險債券基金且本基金配息來源可能為本金及收益平準金),7509,0.00%,0,0.00%,0,0.00%,688377,0.19%,80310,0.02%,0,0.00%,32805,0.01%,809001,0.22%
AA2,88393254,匯豐全球基礎建設收益基金 (本基金配息來源可能為本金及收益平準金),69235,0.01%,75664,0.01%,0,0.00%,1523221,0.28%,220022,0.04%,0,0.00%,37876,0.01%,1926018,0.36%
AJ2,93218643,匯豐超核心多重資產基金 (本基金有一定比重投資於非投資等級之高風險債券),152257,0.01%,67121,0.00%,0,0.00%,5246058,0.28%,757763,0.04%,0,0.00%,40750,0.00%,6263949,0.34%
AJ2,510387,匯豐超核心優化多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且本基金配息來源可能為本金及收益平準金),178180,0.02%,30316,0.00%,0,0.00%,2388599,0.28%,358292,0.04%,0,0.00%,33012,0.00%,2988399,0.35%
AA1,974066,元大2001基金,1924143,0.04%,3358125,0.07%,0,0.00%,9680306,0.19%,1613381,0.03%,0,0.00%,51945,0.00%,16627900,0.33%
AA1,1032058,元大多福基金,3292895,0.05%,5706163,0.09%,0,0.00%,15946290,0.24%,1594628,0.02%,0,0.00%,66538,0.00%,26606514,0.40%
AA1,92001765,元大多多基金,5627197,0.13%,7937545,0.18%,0,0.00%,12468704,0.28%,1068744,0.02%,0,0.00%,53597,0.00%,27155787,0.62%
AD1,92017204,元大得利貨幣市場基金,0,0.00%,0,0.00%,0,0.00%,4297672,0.01%,1841866,0.00%,0,0.00%,257317,0.00%,6396855,0.02%
AA1,92026219,元大卓越基金,3393451,0.04%,5890535,0.07%,0,0.00%,22706172,0.26%,1702966,0.02%,0,0.00%,48700,0.00%,33741824,0.38%
AA1,20080023,元大店頭基金,747665,0.05%,1315641,0.09%,0,0.00%,3786410,0.26%,354979,0.02%,0,0.00%,45544,0.00%,6250239,0.43%
AD1,20081331,元大萬泰貨幣市場基金,0,0.00%,0,0.00%,0,0.00%,3237384,0.01%,1503071,0.01%,0,0.00%,233771,0.00%,4974226,0.02%
AA1,81584335,元大高科技基金,14322189,0.15%,21326604,0.22%,0,0.00%,25153829,0.26%,2358168,0.02%,0,0.00%,58445,0.00%,63219235,0.65%
AA1,83863951,元大經貿基金,1669284,0.07%,2768507,0.11%,0,0.00%,6327181,0.26%,593179,0.02%,0,0.00%,45524,0.00%,11403675,0.47%
AA1,17139204,元大新主流基金,9440764,0.15%,11993562,0.19%,0,0.00%,16429823,0.26%,1540298,0.02%,0,0.00%,51955,0.00%,39456402,0.62%
AD1,13530495,元大得寶貨幣市場基金,0,0.00%,0,0.00%,0,0.00%,1982804,0.01%,849764,0.00%,0,0.00%,192419,0.00%,3024987,0.02%
AH11,98764389,元大台灣卓越50基金,5669778,0.00%,28399653,0.00%,0,0.00%,166996595,0.01%,55210635,0.00%,0,0.00%,76169830,0.01%,332446491,0.03%
AI1,99346928,元大台灣加權股價指數基金,25484,0.00%,72205,0.00%,0,0.00%,14334579,0.10%,2389090,0.02%,0,0.00%,622832,0.00%,17444190,0.12%
AE23,99967974,元大全球ETF穩健組合基金,264386,0.02%,5124,0.00%,0,0.00%,2690250,0.16%,380945,0.02%,0,0.00%,51920,0.00%,3392625,0.20%
AG,21718388,元大全球不動產證券化基金 (基金之配息來源可能為本金),399566,0.03%,27053,0.00%,0,0.00%,4212145,0.29%,585028,0.04%,0,0.00%,54013,0.00%,5277805,0.36%
AA2,48708243,元大亞太成長基金,181278,0.02%,12000,0.00%,0,0.00%,2981687,0.29%,430690,0.04%,0,0.00%,48869,0.00%,3654524,0.36%
AE21,48760113,元大全球新興市場精選組合基金,42231,0.01%,0,0.00%,0,0.00%,908289,0.19%,98399,0.02%,0,0.00%,45082,0.01%,1094001,0.23%
AH11,48772770,元大台灣中型100基金,2392,0.00%,6702,0.00%,0,0.00%,1587169,0.06%,138873,0.01%,0,0.00%,332667,0.01%,2067803,0.08%
AE21,48789815,元大全球ETF成長組合基金,637329,0.04%,0,0.00%,0,0.00%,3162913,0.19%,369008,0.02%,0,0.00%,46469,0.00%,4215719,0.26%
AG,48885346,元大全球地產建設入息基金 (本基金之配息來源可能為本金且並無保證收益及配息),124071,0.03%,7698,0.00%,0,0.00%,1292861,0.28%,184698,0.04%,0,0.00%,47623,0.01%,1656951,0.36%
AH11,48903175,元大台灣金融基金,3656,0.00%,2626,0.00%,0,0.00%,1698248,0.06%,148592,0.01%,0,0.00%,351495,0.01%,2204617,0.08%
AH11,48903196,元大台灣電子科技基金,552,0.00%,1935,0.00%,0,0.00%,518427,0.06%,45363,0.01%,0,0.00%,131632,0.02%,697909,0.09%
AH11,48966213,元大台灣高股息基金 (本基金之配息來源可能為收益平準金且並無保證收益及配息),6978196,0.00%,17020614,0.00%,0,0.00%,260329196,0.05%,30371739,0.01%,0,0.00%,40624014,0.01%,355323759,0.07%
AA2,10348058,元大全球農業商機基金,139898,0.04%,1272,0.00%,0,0.00%,1138007,0.30%,166083,0.04%,0,0.00%,38940,0.01%,1484200,0.39%
AA2,25520400,元大新中國基金,78910,0.01%,89894,0.01%,0,0.00%,2380165,0.29%,346260,0.04%,0,0.00%,45047,0.01%,2940276,0.36%
AI2,25591306,元大大中華價值指數基金,10981,0.00%,1559,0.00%,0,0.00%,883689,0.16%,141393,0.03%,0,0.00%,93172,0.02%,1130794,0.21%
AH21,25610486,元大標智滬深300基金,152424,0.01%,1456,0.00%,215191,0.01%,1342200,0.05%,447392,0.02%,0,0.00%,97086,0.00%,1825367,0.07%
AA2,25622390,元大印度基金,28756,0.01%,3128,0.00%,0,0.00%,1428798,0.29%,222261,0.05%,0,0.00%,117630,0.02%,1800573,0.37%
AA2,25643156,元大新興亞洲基金,240164,0.03%,44004,0.01%,0,0.00%,2404665,0.32%,336651,0.05%,0,0.00%,96653,0.01%,3122137,0.42%
AI2,26203846,元大印尼指數基金,22756,0.01%,6816,0.00%,0,0.00%,361316,0.20%,46254,0.03%,0,0.00%,53594,0.03%,490736,0.27%
AI2,26203851,元大巴西指數基金,19646,0.01%,6633,0.00%,0,0.00%,353381,0.20%,56545,0.03%,0,0.00%,42026,0.02%,478231,0.27%
AH11,26282102,元大富櫃50基金,69318,0.01%,105755,0.02%,52620,0.01%,304176,0.06%,26615,0.01%,0,0.00%,80427,0.02%,533671,0.11%
AH11,26306553,元大摩臺基金,39460,0.00%,83134,0.01%,0,0.00%,658951,0.05%,76872,0.01%,0,0.00%,187717,0.01%,1046134,0.08%
AH21,31830488,元大上證50基金,66587,0.01%,5177,0.00%,229912,0.02%,2003896,0.16%,202422,0.02%,0,0.00%,241914,0.02%,2290084,0.18%
AD2,38546966,元大人民幣貨幣市場基金,0,0.00%,0,0.00%,0,0.00%,259141,0.05%,86383,0.02%,0,0.00%,44577,0.01%,390101,0.07%
AH13,38619904,元大台灣50單日正向2倍基金 (本基金為策略交易型產品且投資具有槓桿操作風險，故本基金不適合長期持有，僅符合臺灣證券交易所訂適格條件之投資人始得交易),3000856,0.01%,8499365,0.02%,4169076,0.01%,79328303,0.16%,3173127,0.01%,0,0.00%,4204589,0.01%,94037164,0.19%
AH13,38619910,元大台灣50單日反向1倍基金 (本基金為策略交易型產品且投資具有反向操作風險，故本基金不適合長期持有，僅符合臺灣證券交易所訂適格條件之投資人始得交易),884350,0.00%,2492831,0.01%,1018740,0.00%,45255000,0.16%,1810197,0.01%,0,0.00%,1924823,0.01%,51348461,0.18%
AA2,38639090,元大大中華TMT基金,312204,0.06%,235607,0.05%,0,0.00%,1474764,0.29%,213015,0.04%,0,0.00%,105763,0.02%,2341353,0.46%
AH23,42300232,元大滬深300單日反向1倍基金 (本基金為策略交易型產品且投資具有反向操作風險，故本基金不適合長期持有，僅符合臺灣證券交易所訂適格條件之投資人始得交易),124808,0.06%,0,0.00%,7918,0.00%,340515,0.16%,72232,0.03%,0,0.00%,61118,0.03%,590755,0.28%
AH23,42300253,元大滬深300單日正向2倍基金 (本基金為策略交易型產品且投資具有槓桿操作風險，故本基金不適合長期持有，僅符合臺灣證券交易所訂適格條件之投資人始得交易),24968477,0.11%,28555,0.00%,3528636,0.02%,35518477,0.16%,8338046,0.04%,0,0.00%,1336169,0.01%,66661088,0.30%
AA2,42307684,元大全球股票入息基金 (本基金之配息來源可能為本金且並無保證收益及配息),389638,0.05%,10960,0.00%,0,0.00%,2072272,0.29%,299339,0.04%,0,0.00%,46079,0.01%,2818288,0.40%
AC21,42321314,元大新興印尼機會債券基金 (本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),0,0.00%,0,0.00%,0,0.00%,778498,0.16%,194628,0.04%,0,0.00%,42429,0.01%,1015555,0.21%
AH23,42333563,元大標普500單日反向1倍基金 (本基金為策略交易型產品且投資具有反向操作風險，故本基金不適合長期持有，僅符合臺灣證券交易所訂適格條件之投資人始得交易),2206,0.00%,0,0.00%,10012,0.00%,1115681,0.16%,202862,0.03%,0,0.00%,190413,0.03%,1501150,0.22%
AH23,42333579,元大標普500單日正向2倍基金 (本基金為策略交易型產品且投資具有槓桿操作風險，故本基金不適合長期持有，僅符合臺灣證券交易所訂適格條件之投資人始得交易),1654,0.00%,0,0.00%,0,0.00%,1308677,0.16%,237947,0.03%,0,0.00%,192891,0.02%,1741169,0.21%
AH21,42333613,元大標普500基金,1143027,0.00%,0,0.00%,2733316,0.01%,16976690,0.05%,3395340,0.01%,0,0.00%,2970214,0.01%,21751955,0.06%
AD2,42381754,元大美元貨幣市場基金,0,0.00%,0,0.00%,0,0.00%,235128,0.02%,109733,0.01%,0,0.00%,40360,0.00%,385221,0.04%
AH21,42398663,元大日經225基金,57140,0.00%,0,0.00%,179766,0.01%,1326380,0.08%,530559,0.03%,0,0.00%,259628,0.02%,1993941,0.12%
AH21,42398684,元大歐洲50基金,65,0.00%,0,0.00%,0,0.00%,267034,0.08%,128178,0.04%,0,0.00%,150100,0.05%,545377,0.17%
AB2,42403764,元大新東協平衡基金 (本基金有相當比重投資於非投資等級之高風險債券),61201,0.02%,9901,0.00%,0,0.00%,985578,0.26%,160144,0.04%,0,0.00%,48515,0.01%,1265339,0.33%
AH24,42461567,元大美國政府20年期(以上)債券單日正向2倍基金 (本基金為策略交易型產品且投資具有槓桿操作風險，故本基金不適合長期持有，僅符合臺灣證券交易所訂定之適格條件之投資人始得交易),1825951,0.01%,0,0.00%,0,0.00%,24502121,0.12%,6860599,0.03%,0,0.00%,1801745,0.01%,34990416,0.17%
AH22,42461573,元大美國政府20年期(以上)債券基金 (本基金之配息來源可能為收益平準金),0,0.00%,0,0.00%,0,0.00%,37114161,0.02%,14845663,0.01%,0,0.00%,11891703,0.01%,63851527,0.03%
AH24,42461588,元大美國政府20年期(以上)債券單日反向1倍基金 (本基金為策略交易型產品且投資具有反向操作風險，故本基金不適合長期持有，僅符合臺灣證券交易所訂定之適格條件之投資人始得交易),7167,0.00%,0,0.00%,0,0.00%,190724,0.12%,40685,0.03%,0,0.00%,78707,0.05%,317283,0.20%
AH22,42469744,元大美國政府7至10年期債券基金,0,0.00%,0,0.00%,0,0.00%,793826,0.03%,396915,0.02%,0,0.00%,277076,0.01%,1467817,0.06%
AH11,42540916,元大台灣高股息低波動ETF基金 (本基金之配息來源可能為收益平準金且並無保證收益及配息),22227916,0.02%,56856318,0.04%,58599416,0.05%,61580679,0.05%,7184409,0.01%,0,0.00%,7515671,0.01%,96765577,0.08%
AI2,42525387,元大亞太優質高股息100指數基金 (基金之收益分配由經理公司得依收益之情況自行決定當季配息型受益權單位配息與否及分配之金額，故每季分配之金額並非一定相同且並無保證收益及配息),101,0.00%,0,0.00%,0,0.00%,270997,0.19%,49677,0.04%,0,0.00%,162237,0.12%,483012,0.35%
AH22,42552623,元大20年期以上BBB級美元公司債券ETF基金 (本基金之配息來源可能為收益平準金),0,0.00%,0,0.00%,0,0.00%,70334205,0.05%,11722365,0.01%,0,0.00%,8670751,0.01%,90727321,0.06%
AH22,42552659,元大美國政府1至3年期債券ETF基金,0,0.00%,0,0.00%,0,0.00%,1846686,0.01%,1582878,0.01%,0,0.00%,1072071,0.01%,4501635,0.03%
AH21,72963026,元大MSCI中國A股國際通ETF基金,133686,0.02%,754,0.00%,164907,0.02%,867461,0.11%,123918,0.02%,0,0.00%,193115,0.03%,1154027,0.15%
AH22,73656187,元大20年期以上AAA至A級美元公司債券ETF基金 (本基金之配息來源可能為收益平準金),0,0.00%,0,0.00%,0,0.00%,44910330,0.03%,12475090,0.01%,0,0.00%,5577513,0.00%,62962933,0.04%
AH21,73694555,元大全球人工智慧ETF基金,263120,0.01%,13193,0.00%,894688,0.02%,6675367,0.15%,1928444,0.04%,0,0.00%,667004,0.01%,8652440,0.19%
AH22,74722571,元大10年期以上美元投資級銀行債券ETF基金,0,0.00%,0,0.00%,0,0.00%,441782,0.05%,147256,0.02%,0,0.00%,146900,0.02%,735938,0.08%
