類型代號,基金統編,基金名稱,手續費_累積金額,手續費_比率,交易稅_累積金額,交易稅_比率,經理費_累積金額,經理費_比率,保管費_累積金額,保管費_比率,其他項費用_累積金額,其他項費用_比率,合計_累積金額,合計_比率
2,17154324,建弘價值基金,23313101,2.22%,25971438,2.48%,18536260,1.77%,1737608,0.17%,560,0.00%,69558967,6.64%
4,17612378,建弘亞洲科技基金,38497342,3.15%,8297745,0.68%,27642424,2.26%,4106773,0.34%,479987,0.04%,79024271,6.46%
3,1047806,中華台灣基金,21290278,0.28%,23508038,0.31%,98345595,1.29%,10474502,0.14%,22757273,0.30%,176375686,2.31%
2,989005,中華中華基金,8915050,0.45%,8492946,0.43%,14534162,0.73%,1937885,0.10%,647658,0.03%,34527701,1.74%
2,1050013,中華成長基金,19528716,1.23%,21375625,1.35%,21911193,1.39%,2921487,0.18%,963695,0.06%,66700716,4.22%
4,1021658,中華萬邦基金,7038651,0.85%,132529,0.02%,11662510,1.41%,932996,0.11%,685638,0.08%,20452324,2.48%
5,971080,中華安富基金,19496717,0.60%,22209011,0.69%,40153532,1.24%,5776191,0.18%,3882415,0.12%,91517866,2.83%
2,76941376,中華成功基金,9300190,0.50%,9644677,0.52%,8146640,0.44%,2000000,0.11%,406088,0.02%,29497595,1.58%
6,1013067,中華成龍基金,0,0.00%,350070,0.01%,27205115,0.40%,5441033,0.08%,6710,0.00%,33002928,0.49%
2,1031298,中華龍鳳基金,20092202,1.13%,22178172,1.25%,18562315,1.04%,1856241,0.10%,1611025,0.09%,64299955,3.62%
2,92006298,中華中華100基金,510852,0.37%,535902,0.39%,975758,0.71%,182145,0.13%,472598,0.34%,2677255,1.94%
2,92017794,中華龍騰電子基金,35361906,0.59%,40007760,0.67%,65159655,1.09%,8144950,0.14%,4111286,0.07%,152785557,2.55%
6,92025871,中華富泰債券基金,0,0.00%,779475,0.00%,78353944,0.25%,30741503,0.10%,0,0.00%,109874922,0.35%
6,97978399,中華開泰債券基金,0,0.00%,0,0.00%,31639970,0.51%,8437315,0.13%,20320,0.00%,40097605,0.64%
6,97993027,中華富泰二號債券基金,0,0.00%,858650,0.01%,48255705,0.33%,11029881,0.08%,0,0.00%,60144236,0.41%
2,97995664,中華店頭五十基金,13555114,0.58%,14954469,0.64%,30772856,1.31%,2872129,0.12%,1056163,0.04%,63210731,2.69%
2,73987671,中華台灣精典基金,10449654,0.52%,10692431,0.53%,14472979,0.71%,1254316,0.06%,470817,0.02%,37340197,1.84%
2,17154555,中華佳值基金,1580443,0.00%,1852300,0.00%,3166509,0.00%,296861,0.00%,50974,0.00%,6947087,0.00%
4,18031954,中華太平洋精典基金,13870381,0.78%,2179384,0.12%,46636940,2.61%,4145500,0.23%,2880241,0.16%,69712446,3.90%
6,13538742,中華開泰二號債券基金,0,0.00%,0,0.00%,25401202,0.35%,3968741,0.05%,340,0.00%,29370283,0.40%
2,77537509,元大多元基金,2476226,0.28%,2421157,0.27%,8556771,0.96%,1069600,0.12%,316900,0.04%,14840654,1.67%
6,1031608,元大多利基金,0,0.00%,0,0.00%,50103075,0.33%,12017841,0.08%,170738,0.00%,62291654,0.41%
2,1032058,元大多福基金,16092179,1.72%,17783351,1.90%,11013536,1.18%,1101348,0.12%,225883,0.02%,46216297,4.95%
2,92001765,元大多多基金,8209349,0.96%,8660844,1.01%,12224102,1.43%,1047770,0.12%,185361,0.02%,30327426,3.55%
2,92026219,元大卓越基金,28872236,0.74%,32160474,0.82%,47060284,1.20%,3529513,0.09%,694,0.00%,111623201,2.84%
6,97980178,元大多利二號基金,0,0.00%,0,0.00%,37223127,0.16%,9926172,0.04%,0,0.00%,47149299,0.20%
2,97990289,元大中國基金,5245705,0.00%,6064546,0.00%,3516248,0.00%,351627,0.00%,7173,0.00%,15185299,0.00%
2,20080023,元大店頭基金,13562051,0.81%,14886076,0.89%,20850212,1.25%,1954710,0.12%,471,0.00%,51253520,3.08%
6,20081331,元大萬泰基金,0,0.00%,8603771,0.03%,74259128,0.22%,18948848,0.06%,0,0.00%,101811747,0.30%
2,81584335,元大高科技基金,16041699,0.32%,16474546,0.33%,64451297,1.28%,6042300,0.12%,283,0.00%,103010125,2.05%
2,81585622,元大滿益基金,1757686,0.27%,1882753,0.29%,8741758,1.37%,826968,0.13%,60300,0.01%,13269465,2.07%
2,83863951,元大經貿基金,9115531,0.86%,9957253,0.94%,13136743,1.23%,1233025,0.12%,299,0.00%,33442851,3.14%
2,19325844,元大開發基金,5486485,0.00%,6676332,0.00%,5016408,0.00%,507299,0.00%,109,0.00%,17686633,0.00%
2,17139204,元大新主流基金,12130835,0.96%,13842716,1.09%,18098220,1.43%,1696690,0.13%,431,0.00%,45768892,3.61%
4,17612481,元大全球通訊基金,5546557,0.63%,9731,0.00%,21480125,2.43%,3191327,0.36%,0,0.00%,30227740,3.42%
2,18036281,元大巴菲特基金,21130055,1.18%,24674548,1.37%,29729056,1.65%,2787100,0.16%,586,0.00%,78321345,4.36%
5,18475197,元大平衡基金,6120619,0.70%,6160887,0.71%,15939794,1.83%,1659536,0.19%,94,0.00%,29880930,3.43%
2,974024,景順中信和信基金,2717934,0.65%,2866378,0.69%,4234528,1.02%,494029,0.12%,274525,0.07%,10587394,2.54%
3,1032424,中信台灣股價指數基金,185488,2.20%,334771,3.97%,216110,2.56%,28808,0.34%,552520,6.55%,1317697,15.63%
2,92010498,中信和豐股價指數基金,235205,0.00%,365060,0.00%,231840,0.00%,32723,0.00%,323641,0.00%,1188469,0.00%
2,92019786,景順中信潛力基金,2862654,0.54%,2971766,0.56%,6842555,1.29%,598745,0.11%,814,0.00%,13276534,2.51%
6,92025942,景順中信債券基金,0,0.00%,0,0.00%,127031118,0.40%,29035690,0.09%,848138,0.00%,156914946,0.49%
4,97993482,景順中信全球科技基金,25264811,0.54%,6818936,0.15%,85838117,1.84%,12262567,0.26%,3615321,0.08%,133799752,2.87%
2,20089782,景順中信店頭基金,3091502,0.63%,3337520,0.68%,7341360,1.49%,642457,0.13%,1154,0.00%,14413993,2.93%
4,81598957,景順中信龍基金,3291746,0.73%,1616304,0.36%,8240294,1.84%,1177177,0.26%,457349,0.10%,14782870,3.30%
2,73989256,景順中信台灣科技基金,15131154,0.60%,16716858,0.67%,41194363,1.64%,3604518,0.14%,384,0.00%,76647277,3.06%
2,17140568,景順中信主流基金,7986919,1.30%,8720312,1.42%,9627682,1.57%,842427,0.14%,565,0.00%,27177905,4.42%
5,17606713,景順中信平衡基金,6203260,0.40%,6187100,0.40%,20700617,1.33%,2070057,0.13%,295,0.00%,35161329,2.26%
4,17612362,景順中信寰宇先進科技基金,11275963,0.70%,1415002,0.09%,38769571,2.40%,6030821,0.37%,2689253,0.17%,60180610,3.73%
2,18036297,景順中信新價值基金,2037360,1.40%,1953083,1.35%,4684797,3.23%,439197,0.30%,335,0.00%,9114772,6.28%
6,18487742,景順中信積極收益基金,863844,0.01%,179686,0.00%,15490083,0.15%,3540598,0.03%,733744,0.01%,20807955,0.20%
2,76945871,保誠先鋒基金,3046816,0.00%,3480269,0.00%,2266827,0.00%,302260,0.00%,96460,0.00%,9192632,0.00%
2,1032091,保誠威鋒基金,5982785,2.71%,6488387,2.94%,2822550,1.28%,478292,0.22%,284915,0.13%,16056929,7.26%
6,1033325,保誠威鋒二號基金,0,0.00%,0,0.00%,88882040,0.22%,25394884,0.06%,381389,0.00%,114658313,0.28%
2,92003102,保誠高科技基金,20743212,0.98%,22599327,1.06%,20897656,0.98%,2080995,0.10%,282447,0.01%,66603637,3.13%
2,92012572,保誠外銷基金,25089304,1.32%,27222856,1.43%,20851100,1.09%,1954795,0.10%,421,0.00%,75118476,3.94%
6,92029216,保誠獨特基金,0,0.00%,0,0.00%,36328307,0.21%,6054713,0.04%,67481,0.00%,42450501,0.25%
2,97978102,保誠掌櫃基金,4507014,1.36%,4786274,1.45%,4726352,1.43%,384017,0.12%,367,0.00%,14404024,4.35%
2,97983647,保誠元滿基金,10241840,1.32%,11453312,1.47%,10662319,1.37%,1066221,0.14%,4483,0.00%,33428175,4.29%
2,97990696,保誠菁華基金,3978098,1.20%,4322501,1.31%,5518476,1.67%,517349,0.16%,393,0.00%,14336817,4.34%
2,20081796,保誠金融基金,1717739,0.64%,1775426,0.66%,3954266,1.48%,372924,0.14%,189,0.00%,7820544,2.92%
4,81581219,保誠亞太三喜基金,25975263,3.27%,5997647,0.75%,15527432,1.95%,2321846,0.29%,10777,0.00%,49832965,6.27%
2,81595924,保誠中小型股基金,17163572,0.68%,17792643,0.70%,24989174,0.98%,2342736,0.09%,551,0.00%,62288676,2.45%
6,83867345,保誠威寶基金,0,0.00%,0,0.00%,63773332,0.21%,21257725,0.07%,0,0.00%,85031057,0.28%
2,19328687,保誠台資概念基金,2381695,0.00%,2728240,0.00%,2492926,0.00%,234499,0.00%,14868,0.00%,7852228,0.00%
2,17603899,保誠電通網基金,24672024,1.21%,27579661,1.35%,31048365,1.52%,2910774,0.14%,170,0.00%,86210994,4.22%
4,17611814,保誠歐洲基金,6718326,1.00%,0,0.00%,18515316,2.75%,3174045,0.47%,210,0.00%,28407897,4.21%
5,18036769,保誠理財通基金,3070220,0.85%,2945379,0.82%,6158796,1.71%,615889,0.17%,13925,0.00%,12804209,3.56%
2,974050,保德信元富元富基金,2777820,0.83%,2944949,0.88%,3921301,1.18%,490195,0.15%,382548,0.11%,10516813,3.16%
2,1032183,保德信元富高成長基金,24238591,0.81%,24106967,0.80%,32857866,1.10%,4107227,0.14%,441869,0.01%,85752520,2.86%
2,92013967,保德信元富金滿意基金,51603628,0.73%,53305292,0.75%,78422026,1.10%,7352063,0.10%,194923,0.00%,190877932,2.68%
4,92029139,保德信元富亞太基金,7483412,1.95%,1361615,0.36%,6661406,1.74%,989701,0.26%,317003,0.08%,16813137,4.39%
6,97978047,保德信元富債券基金,0,0.00%,0,0.00%,51311677,0.30%,15393504,0.09%,0,0.00%,66705181,0.38%
2,97988636,保德信元富店頭市場基金,12396100,1.74%,13149411,1.85%,9899670,1.39%,928097,0.13%,229,0.00%,36373507,5.11%
6,20089122,保德信元富瑞騰基金,0,0.00%,0,0.00%,25273821,0.48%,7519331,0.14%,48164,0.00%,32841316,0.62%
2,20097447,保德信元富第一基金,8484634,0.77%,9106941,0.83%,16511377,1.50%,1547943,0.14%,362,0.00%,35651257,3.24%
2,73990649,保德信元富科技島基金,36003398,0.77%,38575060,0.83%,64792855,1.39%,6074331,0.13%,397,0.00%,145446041,3.11%
4,73998065,保德信元富大中華基金,5515120,1.78%,2598464,0.84%,4631443,1.49%,688105,0.22%,106677,0.03%,13539809,4.37%
2,83866508,保德信元富中小型股基金,2168810,0.22%,2483995,0.25%,15017222,1.50%,1407869,0.14%,445,0.00%,21078341,2.10%
2,17602625,保德信元富新世紀基金,17526222,0.52%,19157391,0.56%,54221347,1.60%,5083252,0.15%,414,0.00%,95988626,2.83%
4,17611791,保德信元富日韓基金,9361149,1.23%,0,0.00%,15706657,2.06%,2333561,0.31%,932514,0.12%,28333881,3.72%
5,18044064,保德信元富金平衡基金,5793193,1.58%,6078740,1.66%,7758965,2.12%,777701,0.21%,5502,0.00%,20414101,5.58%
2,13528977,保德信元富台商全方位基金,3330906,1.00%,3352603,1.00%,4990346,1.49%,467851,0.14%,25,0.00%,12141731,3.64%
2,77537493,統一統信基金,24981969,1.58%,26577121,1.68%,14562091,0.92%,1820263,0.12%,336928,0.02%,68278372,4.33%
2,1031699,統一全天候基金,10833889,0.62%,11543190,0.66%,16749494,0.96%,2791587,0.16%,386243,0.02%,42304403,2.42%
2,92002244,統一黑馬基金,29473704,2.30%,32897245,2.57%,16263270,1.27%,1517903,0.12%,579351,0.05%,80731473,6.30%
2,92012762,統一龍馬基金,11302980,1.30%,11837711,1.36%,8475105,0.97%,750949,0.09%,16564,0.00%,32383309,3.71%
6,92017176,統一強棒基金,0,0.00%,0,0.00%,59724341,0.21%,14383158,0.05%,1239673,0.00%,75347172,0.27%
2,97977878,統一店頭市場基金,6565818,1.26%,6955002,1.33%,7417893,1.42%,602711,0.12%,433,0.00%,21541857,4.12%
6,20080826,統一全壘打基金,0,0.00%,0,0.00%,66255322,0.21%,17668078,0.06%,1547551,0.01%,85470951,0.28%
2,81581724,統一經建基金,13897480,1.17%,14584116,1.23%,11523039,0.97%,1080554,0.09%,4235,0.00%,41089424,3.46%
2,73990253,統一奔騰基金,23013390,2.96%,25539621,3.29%,9711558,1.25%,910546,0.12%,28405,0.00%,59203520,7.62%
2,17605622,統一大滿貫基金,26274870,1.62%,29922437,1.84%,25754886,1.59%,2414651,0.15%,262479,0.02%,84629323,5.21%
4,18030553,統一亞太基金,6963954,1.08%,3004808,0.46%,13536428,2.09%,2011126,0.31%,13744556,2.12%,39260872,6.07%
2,18041778,統一中小優質基金,11990395,2.08%,12384940,2.15%,10172157,1.77%,954139,0.17%,19713,0.00%,35521344,6.17%
6,18499819,統一政府公債基金,0,0.00%,0,0.00%,5780312,1.22%,1040459,0.22%,69258,0.01%,6890029,1.45%
1,974018,富邦富邦基金,26237037,0.65%,29171651,0.72%,44466155,1.10%,5558394,0.14%,2759378,0.07%,108192615,2.67%
2,1032043,富邦幸福基金,2236355,0.75%,2403829,0.80%,4038420,1.35%,1000000,0.33%,188146,0.06%,9866750,3.29%
6,76949026,富邦如意基金,0,0.00%,0,0.00%,88902790,0.21%,25400792,0.06%,353234,0.00%,114656816,0.28%
2,92002384,富邦精準基金,10682676,0.47%,10933463,0.48%,23681616,1.05%,2368161,0.10%,344681,0.02%,48010597,2.13%
2,92010477,富邦長紅基金,12157856,0.68%,12773579,0.71%,25131461,1.40%,2356061,0.13%,612,0.00%,52419569,2.93%
3,92010770,富邦台灣鳳凰基金,2325738,0.32%,2391746,0.33%,9805342,1.35%,1000000,0.14%,104348,0.01%,15627174,2.16%
2,97974078,富邦冠軍基金,6451710,0.70%,6731938,0.73%,12874905,1.40%,1207040,0.13%,245,0.00%,27265838,2.96%
6,97980579,富邦如意二號基金,0,0.00%,0,0.00%,73316931,0.37%,20947717,0.10%,0,0.00%,94264648,0.47%
2,97991196,富邦８８基金,3732240,0.00%,3973516,0.00%,3840172,0.00%,368661,0.00%,872,0.00%,11915461,0.00%
1,20089755,富邦店頭基金,14109207,0.30%,15013073,0.32%,62909971,1.36%,5902006,0.13%,300537,0.01%,98234794,2.12%
2,81585475,富邦高成長基金,14149107,1.08%,15045052,1.15%,17986511,1.38%,1686560,0.13%,969,0.00%,48868199,3.74%
2,83864683,富邦科技基金,7246958,0.86%,7598813,0.91%,11622511,1.38%,1090176,0.13%,871,0.00%,27559329,3.28%
6,19331085,富邦如意三號基金,0,0.00%,0,0.00%,78768567,0.35%,22505314,0.10%,0,0.00%,101273881,0.45%
2,17148301,富邦台灣心基金,6726228,0.26%,7901599,0.31%,40167570,1.56%,3765710,0.15%,295,0.00%,58561402,2.28%
2,17153795,富邦價值基金,4392836,0.57%,4813762,0.62%,8464699,1.09%,794333,0.10%,870,0.00%,18466500,2.38%
2,17608445,富邦網路基金,13394631,1.19%,14711952,1.30%,19027718,1.68%,1784256,0.16%,855,0.00%,48919412,4.33%
6,17607229,富邦千禧龍債券基金,0,0.00%,0,0.00%,11095209,0.46%,2536046,0.11%,3404,0.00%,13634659,0.57%
4,18032601,富邦亞洲科技基金,7876212,1.36%,869831,0.15%,15085235,2.60%,1896430,0.33%,100,0.00%,25727808,4.43%
2,974039,怡富怡富基金,13935168,0.83%,15045507,0.89%,18706788,1.11%,2182461,0.13%,3428237,0.20%,53298161,3.16%
2,1032162,怡富台灣增長基金,17206300,0.67%,18343379,0.72%,29251152,1.14%,4681135,0.18%,4033323,0.16%,73515289,2.87%
4,92005896,怡富新興日本基金,10242813,0.53%,0,0.00%,39351084,2.04%,5771504,0.30%,6496826,0.34%,61862227,3.21%
2,92012025,怡富新興科技基金,50774579,0.55%,54602228,0.59%,115733128,1.25%,10801769,0.12%,7932014,0.09%,239843718,2.58%
6,92016991,怡富台灣債券基金,0,0.00%,0,0.00%,52005995,0.35%,10629431,0.07%,2435502,0.02%,65070928,0.44%
4,92023780,怡富亞洲基金,9139761,0.56%,4675050,0.29%,26035738,1.59%,3868166,0.24%,1829816,0.11%,45548531,2.78%
6,97991668,怡富第一債券基金,0,0.00%,0,0.00%,84837437,0.29%,21815322,0.08%,2714064,0.01%,109366823,0.38%
4,97999612,怡富全球龍揚基金,40862465,0.47%,26491160,0.31%,143340064,1.65%,21296242,0.25%,7384586,0.09%,239374517,2.76%
4,20096209,怡富東方科技基金,48366396,0.54%,13668630,0.15%,153629725,1.72%,22824985,0.26%,10895145,0.12%,249384881,2.79%
4,73980092,怡富大歐洲基金,72579577,1.13%,31113297,0.49%,117215791,1.83%,20094132,0.31%,25206206,0.39%,266209003,4.15%
2,73989501,怡富中小基金,24400839,0.65%,25477678,0.68%,45847830,1.23%,4298250,0.12%,2773152,0.07%,102797749,2.76%
2,17144945,怡富價值成長基金,11163962,0.92%,12094658,1.00%,18930015,1.56%,1774687,0.15%,1372634,0.11%,45335956,3.75%
4,17612356,怡富全球通網基金,3715307,0.19%,1957322,0.10%,39163052,1.98%,6309611,0.32%,2603382,0.13%,53748674,2.72%
5,18036846,怡富平衡基金,7401528,0.77%,8495352,0.89%,16620058,1.73%,1661997,0.17%,358248,0.04%,34537183,3.61%
2,973762,永昌永昌基金,5710809,1.52%,6074839,1.61%,4789997,1.27%,559020,0.15%,313757,0.08%,17448422,4.64%
2,1031852,永昌昌隆基金,3747955,3.17%,4144802,3.51%,1996639,1.69%,299504,0.25%,285151,0.24%,10474051,8.86%
2,92016839,永昌前瞻科技基金,2456352,3.33%,2629049,3.57%,1399771,1.90%,139988,0.19%,179,0.00%,6625339,8.99%
6,97971760,永昌鳳翔債券基金,0,0.00%,0,0.00%,102275674,0.23%,29221643,0.07%,0,0.00%,131497317,0.30%
2,81584953,永昌店頭基金,1946999,0.91%,2056067,0.96%,2722716,1.28%,272300,0.13%,947,0.00%,6999029,3.28%
2,17610006,永昌新銳星基金,11057577,1.69%,12199797,1.86%,12182668,1.86%,1142168,0.17%,18199,0.00%,36600409,5.59%
5,18477625,永昌龍盈平衡型基金,4283354,1.72%,4232147,1.70%,6974276,2.80%,697444,0.28%,894,0.00%,16188115,6.51%
6,13989817,永昌麒麟債券基金,0,0.00%,0,0.00%,2322771,0.04%,530920,0.01%,0,0.00%,2853691,0.05%
2,974066,寶來2001基金,3758897,0.87%,3952235,0.91%,2334781,0.54%,389125,0.09%,232256,0.05%,10667294,2.46%
2,92004566,寶來績效基金,2078401,1.04%,2172001,1.09%,2219393,1.11%,207135,0.10%,218303,0.11%,6895233,3.46%
6,92017204,寶來得利基金,0,0.00%,0,0.00%,79774190,0.32%,22792616,0.09%,0,0.00%,102566806,0.41%
4,97976723,寶來美台雙利基金,3985771,1.61%,4177621,1.68%,3505143,1.41%,481961,0.19%,148660,0.06%,12299156,4.96%
2,81585257,寶來地產基金,5080583,0.00%,5503556,0.00%,3569920,0.00%,334681,0.00%,639,0.00%,14489379,0.00%
2,17145070,寶來矽谷基金,10930472,1.18%,11569663,1.24%,10831259,1.16%,1010917,0.11%,56523,0.01%,34398834,3.70%
5,18036563,寶來平衡基金,5579785,1.46%,5806683,1.51%,6563367,1.71%,656335,0.17%,101721,0.03%,18707891,4.88%
6,13530495,寶來得寶基金,0,0.00%,0,0.00%,13190287,0.09%,3014925,0.02%,0,0.00%,16205212,0.11%
2,974241,新光台灣富貴基金,7813981,1.12%,8240051,1.18%,4998925,0.71%,625032,0.09%,181827,0.03%,21859816,3.13%
6,1031706,新光台灣吉利基金,0,0.00%,0,0.00%,20879538,0.24%,7351815,0.08%,481454,0.01%,28712807,0.32%
2,92000533,新光台灣永發基金,7236344,1.38%,7534139,1.44%,6046979,1.16%,604695,0.12%,181894,0.03%,21604051,4.13%
4,92024964,新光日本精選基金,3167953,1.18%,0,0.00%,6373952,2.38%,1035764,0.39%,469976,0.18%,11047645,4.13%
6,97982062,新光吉祥基金,0,0.00%,0,0.00%,3879855,0.24%,653307,0.04%,41167,0.00%,4574329,0.28%
6,97988122,新光吉星基金,0,0.00%,0,0.00%,62948013,0.19%,23979200,0.07%,665935,0.00%,87593148,0.26%
2,97998803,新光競臻笠基金,11174841,1.84%,11973506,1.97%,7315148,1.21%,685791,0.11%,898,0.00%,31150184,5.13%
2,81580149,新光國家建設基金,12063576,1.36%,13047200,1.47%,10529184,1.19%,988969,0.11%,1019,0.00%,36629948,4.13%
2,81585242,新光創新科技基金,14276146,2.99%,15402439,3.22%,6503598,1.36%,569536,0.12%,376,0.00%,36752095,7.69%
2,73998071,新光店頭基金,8928835,1.78%,9504885,1.89%,6037690,1.20%,597648,0.12%,775,0.00%,25069833,4.99%
2,17604341,新光摩天基金,30949208,2.39%,34698893,2.68%,20499072,1.58%,1924978,0.15%,259,0.00%,88072410,6.80%
5,18036016,新光千里馬基金,5991579,1.30%,6949560,1.51%,11073773,2.41%,1107375,0.24%,5141,0.00%,25127428,5.46%
2,18488290,新光新興中小基金,7118626,0.98%,6811836,0.94%,11603324,1.60%,1087814,0.15%,130,0.00%,26621730,3.68%
